flashcard_id,question,answer,english
4fd7ba15-6222-4fe1-95ea-2eebbc8ff4cf,毎朝、私は____を浴びます。,シャワー,I take a shower every morning.
4fd7ba15-6222-4fe1-95ea-2eebbc8ff4cf,彼は仕事の後に____をします。,シャワー,He takes a shower after work.
4fd7ba15-6222-4fe1-95ea-2eebbc8ff4cf,暑い日には、____が気持ちいいです。,シャワー,A shower feels nice on a hot day.
77e38f5b-ffb6-4840-8ee2-d3f6a4e92692,あなたは____本が好きですか？,どんな,What kind of books do you like?
77e38f5b-ffb6-4840-8ee2-d3f6a4e92692,彼は____仕事をしていますか？,どんな,What kind of job does he do?
77e38f5b-ffb6-4840-8ee2-d3f6a4e92692,____食べ物が一番好きですか？,どんな,What kind of food do you like the most?
1b9998cb-229b-4061-a0cf-9e4cdbb29fa0,彼は新しい____を買いました。,ズボン,He bought new trousers.
1b9998cb-229b-4061-a0cf-9e4cdbb29fa0,私は青い____を着ています。,ズボン,I am wearing blue trousers.
1b9998cb-229b-4061-a0cf-9e4cdbb29fa0,この____はとても快適です。,ズボン,These trousers are very comfortable.
ac120e70-c648-4465-ad1e-09905723eb3d,テーブルの上に____があります。,物,There is a thing on the table.
ac120e70-c648-4465-ad1e-09905723eb3d,彼は新しい____を買いました。,物,He bought a new thing.
ac120e70-c648-4465-ad1e-09905723eb3d,私の____はとても大切です。,物,My thing is very important.
1ff3bd2e-815a-4222-a1bc-521d6b2045b9,公園に木が____。,があります,There are trees in the park.
1ff3bd2e-815a-4222-a1bc-521d6b2045b9,部屋にテーブルが____。,があります,There is a table in the room.
1ff3bd2e-815a-4222-a1bc-521d6b2045b9,図書館に本が____。,があります,There are books in the library.
4ad3d951-a68b-403f-9a9c-ae5ae49a26cd,この荷物は____です。,重い,This luggage is heavy.
4ad3d951-a68b-403f-9a9c-ae5ae49a26cd,彼の気持ちは____です。,重い,His feelings are serious.
4ad3d951-a68b-403f-9a9c-ae5ae49a26cd,その本はとても____です。,重い,That book is very heavy.
f3d63637-79a4-446a-95e3-c930d4ea3e88,公園には____の木があります。,緑,There are green trees in the park.
f3d63637-79a4-446a-95e3-c930d4ea3e88,彼のシャツは____です。,緑,His shirt is green.
f3d63637-79a4-446a-95e3-c930d4ea3e88,この草は____です。,緑,This grass is green.
4d316519-67aa-46a3-8ccd-1ae14949d9af,今日はとても____です。,寒い,It is very cold today.
4d316519-67aa-46a3-8ccd-1ae14949d9af,冬は____日が多いです。,寒い,There are many cold days in winter.
4d316519-67aa-46a3-8ccd-1ae14949d9af,外は____ので、コートを着てください。,寒い,"It is cold outside, so please wear a coat."
d56d35ea-1a49-4fa8-9733-c9ce353a3117,彼は新しい____を買いました。,フィルム,He bought a new film.
d56d35ea-1a49-4fa8-9733-c9ce353a3117,この____はとても高いです。,フィルム,This film is very expensive.
d56d35ea-1a49-4fa8-9733-c9ce353a3117,私は____を使って写真を撮ります。,フィルム,I take pictures using film.
ea4334d6-0c10-4b18-aacb-202ceef0bda5,彼女は____で料理をします。,台所,She cooks in the kitchen.
ea4334d6-0c10-4b18-aacb-202ceef0bda5,____にお皿があります。,台所,There are dishes in the kitchen.
ea4334d6-0c10-4b18-aacb-202ceef0bda5,私の家の____は広いです。,台所,The kitchen in my house is spacious.
a4d3dd31-8512-419d-8ed3-7b86515fabc9,このゲームは____です。,楽しい,This game is fun.
a4d3dd31-8512-419d-8ed3-7b86515fabc9,友達と遊ぶのは____です。,楽しい,Playing with friends is enjoyable.
a4d3dd31-8512-419d-8ed3-7b86515fabc9,夏休みはとても____です。,楽しい,Summer vacation is very fun.
5e5141c5-9a28-4a7f-a17f-83805c4e72e1,寒いので、私は____を着ます。,コート,"It's cold, so I wear a coat."
5e5141c5-9a28-4a7f-a17f-83805c4e72e1,彼は新しい____を買いました。,コート,He bought a new coat.
5e5141c5-9a28-4a7f-a17f-83805c4e72e1,公園で____をしました。,コート,I played at the court in the park.
e90690a5-7175-4062-b334-09e817d34a18,私の部屋には____があります。,ベッド,There is a bed in my room.
e90690a5-7175-4062-b334-09e817d34a18,彼は毎晩____で寝ます。,ベッド,He sleeps in a bed every night.
e90690a5-7175-4062-b334-09e817d34a18,____の上に本があります。,ベッド,There is a book on the bed.
b7b21a85-51d2-4f4a-af8e-aef2f4dff810,この仕事は____です。,大変,This job is hard.
b7b21a85-51d2-4f4a-af8e-aef2f4dff810,テストは____でした。,大変,The test was difficult.
b7b21a85-51d2-4f4a-af8e-aef2f4dff810,彼女は____な人です。,大変,She is a very hardworking person.
01b74774-6311-477a-9485-a72c11fbd752,この道は____です。,長い,This road is long.
01b74774-6311-477a-9485-a72c11fbd752,彼の髪は____です。,長い,His hair is long.
01b74774-6311-477a-9485-a72c11fbd752,その映画は____です。,長い,That movie is long.
700c76df-aded-447f-97bb-560a1e989eff,子供たちは____で遊んでいます。,川,The children are playing at the river.
700c76df-aded-447f-97bb-560a1e989eff,私の家の近くに____があります。,川,There is a river near my house.
700c76df-aded-447f-97bb-560a1e989eff,夏に____で泳ぎたいです。,川,I want to swim in the river in summer.
590d1246-a893-493b-b93d-0eb4e0c75d27,この天気は____です。,嫌,This weather is unpleasant.
590d1246-a893-493b-b93d-0eb4e0c75d27,彼の態度は____です。,嫌,His attitude is disagreeable.
590d1246-a893-493b-b93d-0eb4e0c75d27,その映画は____でした。,嫌,That movie was unpleasant.
8f5f4b97-fd8a-4c6d-b3c1-8943dac02bb5,その部屋は____です。,汚い,That room is dirty.
8f5f4b97-fd8a-4c6d-b3c1-8943dac02bb5,彼の服は____です。,汚い,His clothes are dirty.
8f5f4b97-fd8a-4c6d-b3c1-8943dac02bb5,公園の地面が____です。,汚い,The ground in the park is dirty.
ce50e468-efbb-4fd8-92a9-3577700cdc1b,この問題は____です。,難しい,This problem is difficult.
ce50e468-efbb-4fd8-92a9-3577700cdc1b,日本語は少し____です。,難しい,Japanese is a little difficult.
ce50e468-efbb-4fd8-92a9-3577700cdc1b,そのテストはとても____でした。,難しい,That test was very difficult.
4f013eef-9d0d-410d-a2e7-992c67f2a9a7,あの____は先生です。,女,That woman is a teacher.
4f013eef-9d0d-410d-a2e7-992c67f2a9a7,公園に____がいます。,女,There is a woman in the park.
4f013eef-9d0d-410d-a2e7-992c67f2a9a7,彼女は____です。,女,She is a woman.
af1c0696-5afe-4f05-a325-8ca711b918b4,今日は____が降っています。,雨,It is raining today.
af1c0696-5afe-4f05-a325-8ca711b918b4,私は____が好きです。,雨,I like rain.
af1c0696-5afe-4f05-a325-8ca711b918b4,外に出るときは____に気をつけてください。,雨,Please be careful of the rain when you go outside.
1a51d9fa-5942-4fcf-a89c-20e40e8565aa,こんな____は初めて見ました。,こんな,I have never seen such a thing.
1a51d9fa-5942-4fcf-a89c-20e40e8565aa,こんな____が好きです。,こんな,I like music like this.
1a51d9fa-5942-4fcf-a89c-20e40e8565aa,こんな____な天気は嫌いです。,こんな,I dislike cold weather like this.
fe2382eb-8ec5-4b95-ba15-53a7d3030e09,彼は____で学校に行きます。,自転車,He goes to school by bicycle.
fe2382eb-8ec5-4b95-ba15-53a7d3030e09,私の____は青いです。,自転車,My bicycle is blue.
fe2382eb-8ec5-4b95-ba15-53a7d3030e09,週末に友達と____に乗ります。,自転車,I ride a bicycle with my friends on the weekend.
2b80638b-9dcf-40e6-a048-c58b672d424f,彼は____を持っています。,カップ,He has a cup.
2b80638b-9dcf-40e6-a048-c58b672d424f,この____はとてもかわいいです。,カップ,This cup is very cute.
2b80638b-9dcf-40e6-a048-c58b672d424f,私はコーヒーを____に入れます。,カップ,I put coffee in a cup.
77732b54-b932-4a39-920e-e0dbb62ed183,この問題は____です。,易しい,This problem is easy.
77732b54-b932-4a39-920e-e0dbb62ed183,彼の説明はとても____です。,易しい,His explanation is very simple.
77732b54-b932-4a39-920e-e0dbb62ed183,この本は子供にとって____です。,易しい,This book is easy for children.
298aeb68-d91e-4926-8b8b-9404fb327153,今日は____です。,曇り,Today is cloudy.
298aeb68-d91e-4926-8b8b-9404fb327153,明日は____になるかもしれません。,曇り,It might be cloudy tomorrow.
298aeb68-d91e-4926-8b8b-9404fb327153,____の時は、傘を持って行きます。,曇り,I take an umbrella when it's cloudy.
3f5818d3-8db7-4e4f-9d6e-feb77fc8a390,彼は____その時に来ました。,丁度,He came right at that time.
3f5818d3-8db7-4e4f-9d6e-feb77fc8a390,私は____その本を読みました。,丁度,I read that book exactly.
3f5818d3-8db7-4e4f-9d6e-feb77fc8a390,会議は____始まります。,丁度,The meeting starts just on time.
21b67a2f-f28c-4c65-9736-1b93db9976ff,彼女は____髪をしています。,細い,She has thin hair.
21b67a2f-f28c-4c65-9736-1b93db9976ff,このペンは____です。,細い,This pen is thin.
21b67a2f-f28c-4c65-9736-1b93db9976ff,彼は____道を歩いています。,細い,He is walking on a narrow road.
bfca3dfe-68f7-4aca-b2cb-181ad4f5894a,彼の____はとても優しいです。,顔,His face is very kind.
bfca3dfe-68f7-4aca-b2cb-181ad4f5894a,この写真には私の____が写っています。,顔,My face is in this photo.
bfca3dfe-68f7-4aca-b2cb-181ad4f5894a,彼女は____に笑顔を見せました。,顔,She showed a smile on her face.
f4b18f6e-f6df-4dab-b40a-80856aa0dd6f,この本は____です。,面白い,This book is interesting.
f4b18f6e-f6df-4dab-b40a-80856aa0dd6f,彼の話はとても____です。,面白い,His story is very fun.
f4b18f6e-f6df-4dab-b40a-80856aa0dd6f,映画は____でしたか？,面白い,Was the movie interesting?
cb1286cf-fba4-46a4-b728-2581ca255447,この____は難しいです。,問題,This problem is difficult.
cb1286cf-fba4-46a4-b728-2581ca255447,先生は____を出しました。,問題,The teacher gave a problem.
cb1286cf-fba4-46a4-b728-2581ca255447,彼は____を解きました。,問題,He solved the problem.
6d2fd9a7-fe23-48ef-a285-d77f95342f7f,今日は____日ですね。,涼しい,Today is a cool day.
6d2fd9a7-fe23-48ef-a285-d77f95342f7f,夏に____風が吹きます。,涼しい,A cool breeze blows in summer.
6d2fd9a7-fe23-48ef-a285-d77f95342f7f,この部屋は____です。,涼しい,This room is cool.
e4e6ef8e-55cb-4a59-9031-2d61787d68fc,明日の____はどうなるか分かりません。,先,I don't know what will happen in the future.
e4e6ef8e-55cb-4a59-9031-2d61787d68fc,私は____に行きます。,先,I will go to the previous place.
e4e6ef8e-55cb-4a59-9031-2d61787d68fc,彼は____のことを考えています。,先,He is thinking about the future.
e3fda17b-d347-4c03-94bb-621e4667c155,あの犬は____です。,白い,That dog is white.
e3fda17b-d347-4c03-94bb-621e4667c155,彼女は____服を着ています。,白い,She is wearing white clothes.
e3fda17b-d347-4c03-94bb-621e4667c155,この花は____です。,白い,This flower is white.
9626cfd2-89e6-48f5-8efb-136f5a8340fa,この映画は____です。,悪い,This movie is bad.
9626cfd2-89e6-48f5-8efb-136f5a8340fa,彼の成績は____です。,悪い,His grades are not good.
9626cfd2-89e6-48f5-8efb-136f5a8340fa,その天気は____ですね。,悪い,"The weather is bad, isn't it?"
fed9bae4-6faf-4117-8ecf-053167f02ae8,彼の犬は____です。,茶色,His dog is brown.
fed9bae4-6faf-4117-8ecf-053167f02ae8,このカバンは____いです。,茶色,This bag is brown.
fed9bae4-6faf-4117-8ecf-053167f02ae8,私の靴は____です。,茶色,My shoes are brown.
6bce94e7-3861-48cd-86df-dfcd2af17718,あの花は____です。,黄色,That flower is yellow.
6bce94e7-3861-48cd-86df-dfcd2af17718,彼の車は____です。,黄色,His car is yellow.
6bce94e7-3861-48cd-86df-dfcd2af17718,このシャツは____が好きです。,黄色,I like yellow for this shirt.
de719c63-0a31-4aa3-ba16-33f3aaabd61e,私の家には____があります。,冷蔵庫,There is a refrigerator in my house.
de719c63-0a31-4aa3-ba16-33f3aaabd61e,____の中に牛乳があります。,冷蔵庫,There is milk in the refrigerator.
de719c63-0a31-4aa3-ba16-33f3aaabd61e,____を開けてください。,冷蔵庫,Please open the refrigerator.
5b0187e6-6664-4fb5-955b-4de7617bfe70,友達と____を見ました。,映画,I watched a movie with my friend.
5b0187e6-6664-4fb5-955b-4de7617bfe70,今週末に新しい____が公開されます。,映画,A new movie will be released this weekend.
5b0187e6-6664-4fb5-955b-4de7617bfe70,私の好きな____はアクションです。,映画,My favorite movie genre is action.
d3d293b6-d72d-4dd1-ad7b-72c416c72029,この本は____です。,薄い,This book is thin.
d3d293b6-d72d-4dd1-ad7b-72c416c72029,彼の声はとても____です。,薄い,His voice is very weak.
d3d293b6-d72d-4dd1-ad7b-72c416c72029,このシャツは____ので、着やすいです。,薄い,"This shirt is thin, so it's easy to wear."
1c57a6fd-9ae5-448b-9088-17a0e06a92a8,公園の____はとても大きいです。,門,The gate of the park is very big.
1c57a6fd-9ae5-448b-9088-17a0e06a92a8,家の____を閉めてください。,門,Please close the gate of the house.
1c57a6fd-9ae5-448b-9088-17a0e06a92a8,学校の____の前で待っています。,門,I am waiting in front of the school gate.
817a2ef7-6ba4-4e86-9fc0-c6e89ee39ffe,彼の犬は____です。,黒い,His dog is black.
817a2ef7-6ba4-4e86-9fc0-c6e89ee39ffe,この部屋の壁は____です。,黒い,The walls of this room are black.
817a2ef7-6ba4-4e86-9fc0-c6e89ee39ffe,私は____服を着ています。,黒い,I am wearing black clothes.
5a656a57-8270-48f8-9833-6585b086ba1f,あの____はとても高いです。,山,That mountain is very tall.
5a656a57-8270-48f8-9833-6585b086ba1f,私たちは____に登ります。,山,We will climb the mountain.
5a656a57-8270-48f8-9833-6585b086ba1f,この____は美しい景色を見せます。,山,This mountain shows a beautiful view.
a228d6b1-2202-4864-ba0f-64464e1a7392,彼は毎日____を歌います。,歌,He sings a song every day.
a228d6b1-2202-4864-ba0f-64464e1a7392,この____はとてもきれいです。,歌,This song is very beautiful.
a228d6b1-2202-4864-ba0f-64464e1a7392,友達と一緒に____を聞きました。,歌,I listened to a song with my friend.
884d51b1-eb89-42f3-92ec-a49e05510e9c,彼は____な人です。,な-adjectives,He is a lively person.
884d51b1-eb89-42f3-92ec-a49e05510e9c,この映画は____です。,な-adjectives,This movie is interesting.
884d51b1-eb89-42f3-92ec-a49e05510e9c,彼女は____な学生です。,な-adjectives,She is a quiet student.
91c5767a-6bcd-4bbb-8728-29ba86d118c0,____になると、花が咲きます。,春,"When spring comes, flowers bloom."
91c5767a-6bcd-4bbb-8728-29ba86d118c0,私は毎年____に旅行します。,春,I travel every year in spring.
91c5767a-6bcd-4bbb-8728-29ba86d118c0,____は暖かいです。,春,Spring is warm.
7d0050a1-d58b-462e-a3fd-47dfc6bb1589,今日は____です。,晴れ,Today is sunny.
7d0050a1-d58b-462e-a3fd-47dfc6bb1589,明日は____になるでしょう。,晴れ,It will be sunny tomorrow.
7d0050a1-d58b-462e-a3fd-47dfc6bb1589,____の日は公園に行きます。,晴れ,"On sunny days, I go to the park."
90cd9831-2741-4bc6-b0d8-919bf54cbd2d,彼はサッカーが____です。,大好き,He loves soccer.
90cd9831-2741-4bc6-b0d8-919bf54cbd2d,私の妹は猫が____です。,大好き,My sister loves cats.
90cd9831-2741-4bc6-b0d8-919bf54cbd2d,あなたは日本の映画が____ですか？,大好き,Do you love Japanese movies?
f630d364-69ac-46de-9c49-0b64e2dcc129,このケーキは____です。,美味しい,This cake is delicious.
f630d364-69ac-46de-9c49-0b64e2dcc129,彼の料理はいつも____。,美味しい,His cooking is always tasty.
f630d364-69ac-46de-9c49-0b64e2dcc129,このラーメンはとても____。,美味しい,This ramen is very delicious.
03e52abb-9f24-4856-bee0-d17c58a14a30,____本は面白いです。,その,That book is interesting.
03e52abb-9f24-4856-bee0-d17c58a14a30,____車は私のです。,その,That car is mine.
03e52abb-9f24-4856-bee0-d17c58a14a30,____犬はかわいいですね。,その,"That dog is cute, isn't it?"
20cb0e5c-e41c-420b-9ee4-b4488663b1e5,友達を____。,呼ぶ,I call my friend.
20cb0e5c-e41c-420b-9ee4-b4488663b1e5,先生は私を____。,呼ぶ,The teacher calls me.
20cb0e5c-e41c-420b-9ee4-b4488663b1e5,彼女は犬を____。,呼ぶ,She calls her dog.
0fec3e0a-8194-44db-bfb7-a9ff6926ff12,私は音楽を____。,聞く,I listen to music.
0fec3e0a-8194-44db-bfb7-a9ff6926ff12,先生に質問を____。,聞く,I ask the teacher a question.
0fec3e0a-8194-44db-bfb7-a9ff6926ff12,友達の話を____。,聞く,I listen to my friend's story.
ddc6519a-1b15-48a2-86ef-6f8aeed1661a,毎朝、犬と____をします。,散歩,I take a walk with my dog every morning.
ddc6519a-1b15-48a2-86ef-6f8aeed1661a,公園で友達と____をしました。,散歩,I took a walk with my friend in the park.
ddc6519a-1b15-48a2-86ef-6f8aeed1661a,天気がいいので、____に行きましょう。,散歩,"Since the weather is nice, let's go for a walk."
861078e5-5f25-447d-9aee-cccf3be4c3f0,みんながバスの前に____。,並ぶ,Everyone is lining up in front of the bus.
861078e5-5f25-447d-9aee-cccf3be4c3f0,学校の前で学生が____。,並ぶ,Students are lined up in front of the school.
861078e5-5f25-447d-9aee-cccf3be4c3f0,彼らはチケットを買うために____。,並ぶ,They are standing in line to buy tickets.
3f9c59b1-611e-4d24-a34c-0ea7534194a7,友達と____遊びます。,一緒に,I play together with my friend.
3f9c59b1-611e-4d24-a34c-0ea7534194a7,家族と____ご飯を食べます。,一緒に,I eat a meal together with my family.
3f9c59b1-611e-4d24-a34c-0ea7534194a7,彼と____映画を見ます。,一緒に,I watch a movie together with him.
0d8823f4-4dbc-4d01-83cc-57535c288d83,友達と____に行きます。,一緒,I go together with my friend.
0d8823f4-4dbc-4d01-83cc-57535c288d83,私たちは____に勉強します。,一緒,We study together.
0d8823f4-4dbc-4d01-83cc-57535c288d83,家族はいつも____にいます。,一緒,My family is always together.
7ccf0494-54e9-4f1c-bff1-de6b2a7ce261,彼は____来ていません。,まだ,He hasn't come yet.
7ccf0494-54e9-4f1c-bff1-de6b2a7ce261,宿題は____終わっていません。,まだ,I haven't finished my homework yet.
7ccf0494-54e9-4f1c-bff1-de6b2a7ce261,雨は____降っています。,まだ,It is still raining.
7789367f-fa85-48ec-a66d-731081b1052d,彼は本を____。,並べる,He lines up the books.
7789367f-fa85-48ec-a66d-731081b1052d,私たちは椅子を____。,並べる,We put the chairs side by side.
7789367f-fa85-48ec-a66d-731081b1052d,先生が絵を____。,並べる,The teacher arranges the pictures.
d0a6f578-b6c8-4673-b545-8725743bb899,彼は____映画を見ます。,時々,He watches movies sometimes.
d0a6f578-b6c8-4673-b545-8725743bb899,私たちは____公園に行きます。,時々,We go to the park sometimes.
d0a6f578-b6c8-4673-b545-8725743bb899,彼女は____本を読みます。,時々,She reads books sometimes.
4db90ea9-e769-4405-a984-23441d0c19f1,彼は私に絵を____。,見せる,He shows me a picture.
4db90ea9-e769-4405-a984-23441d0c19f1,先生は新しい本を____。,見せる,The teacher shows a new book.
4db90ea9-e769-4405-a984-23441d0c19f1,友達が映画の予告を____。,見せる,My friend shows the movie trailer.
2ca79bca-478a-4201-9034-61035076accf,明日、雨が____でしょう。,降る,It will probably rain tomorrow.
2ca79bca-478a-4201-9034-61035076accf,冬には雪が____ことが多いです。,降る,It often snows in winter.
2ca79bca-478a-4201-9034-61035076accf,今日は午後から雨が____予定です。,降る,It is expected to rain this afternoon.
cb5aa400-4076-47ac-9701-db0fdb841293,彼は____勉強します。,いつも,He studies always.
cb5aa400-4076-47ac-9701-db0fdb841293,私は____コーヒーを飲みます。,いつも,I usually drink coffee.
cb5aa400-4076-47ac-9701-db0fdb841293,彼女は____公園で遊びます。,いつも,She always plays in the park.
7596f227-e76d-47c0-b8fd-22a6a96d7239,私は勉強____音楽を聞きます。,中,I listen to music while studying.
7596f227-e76d-47c0-b8fd-22a6a96d7239,彼は旅行____写真をたくさん撮りました。,中,He took many pictures during the trip.
7596f227-e76d-47c0-b8fd-22a6a96d7239,授業____質問がありますか？,中,Do you have questions during the class?
e6abe0cc-3377-43a4-ba84-bbd34e9c1e52,私は日本語を____。,たい,I want to study Japanese.
e6abe0cc-3377-43a4-ba84-bbd34e9c1e52,彼はサッカーを____。,たい,He wants to play soccer.
e6abe0cc-3377-43a4-ba84-bbd34e9c1e52,あなたは映画を____。,たい,You want to watch a movie.
a9a349f1-7243-4413-8b00-41792c447285,お金がないと____。,困る,I am troubled without money.
a9a349f1-7243-4413-8b00-41792c447285,彼は宿題が多くて____。,困る,He is troubled because he has too much homework.
a9a349f1-7243-4413-8b00-41792c447285,道がわからなくて____。,困る,I am troubled because I don't know the way.
2b6f5457-0d3a-4354-b29d-4bff90855bf9,彼はギターを____。,弾く,He plays the guitar.
2b6f5457-0d3a-4354-b29d-4bff90855bf9,私の友達はピアノを____。,弾く,My friend plays the piano.
2b6f5457-0d3a-4354-b29d-4bff90855bf9,彼女は毎日バイオリンを____。,弾く,She plays the violin every day.
314bdff3-bf6f-4447-8880-03c546ef6c81,先生は本を____。,渡す,The teacher hands over a book.
314bdff3-bf6f-4447-8880-03c546ef6c81,友達に手紙を____。,渡す,I pass a letter to my friend.
314bdff3-bf6f-4447-8880-03c546ef6c81,彼は私にプレゼントを____。,渡す,He hands me a present.
8e4ee19a-972f-44c9-9ee2-48ab57bfb835,宿題を____、テレビを見ます。,てから,"After doing my homework, I watch TV."
8e4ee19a-972f-44c9-9ee2-48ab57bfb835,ご飯を____、散歩に行きます。,てから,"After eating, I go for a walk."
8e4ee19a-972f-44c9-9ee2-48ab57bfb835,学校が終わって____、友達と遊びます。,てから,"After school ends, I play with my friends."
1345c5f2-a649-4a94-a2a2-3e581c47ddc6,バスが着いたら、私は____。,降りる,"When the bus arrives, I will get off."
1345c5f2-a649-4a94-a2a2-3e581c47ddc6,駅で電車を____。,降りる,I will get off the train at the station.
1345c5f2-a649-4a94-a2a2-3e581c47ddc6,彼は階段を使って____。,降りる,He is getting off using the stairs.
41329c0f-897f-4965-af59-ed844d7e0254,彼は____来ますか？,すぐに,Will he come soon?
41329c0f-897f-4965-af59-ed844d7e0254,宿題を____終わらせました。,すぐに,I finished my homework immediately.
41329c0f-897f-4965-af59-ed844d7e0254,電話を____かけます。,すぐに,I will call you soon.
a75e34e0-4341-465f-8979-fd1904b3e474,子供たちは公園で____。,遊ぶ,The children play in the park.
a75e34e0-4341-465f-8979-fd1904b3e474,友達と一緒に____のが好きです。,遊ぶ,I like to play with my friends.
a75e34e0-4341-465f-8979-fd1904b3e474,今日は家で____ことができます。,遊ぶ,I can play at home today.
fefd7157-a7c6-4dfc-9a24-b2cc6a28bf12,彼は日本語が____。,できる,He can speak Japanese.
fefd7157-a7c6-4dfc-9a24-b2cc6a28bf12,私はピアノを____ように練習します。,できる,I practice so that I can play the piano.
fefd7157-a7c6-4dfc-9a24-b2cc6a28bf12,明日、宿題を____と思います。,できる,I think I will be able to do my homework tomorrow.
3f4bae41-3d04-474e-b17c-86875dc4eaf2,彼は山に____。,登る,He climbs the mountain.
3f4bae41-3d04-474e-b17c-86875dc4eaf2,私たちは木に____。,登る,We climb the tree.
3f4bae41-3d04-474e-b17c-86875dc4eaf2,彼女は階段を____。,登る,She climbs the stairs.
8650b718-c133-43ad-9555-efd4cdd93648,彼は____学校に行きます。,いつも,He always goes to school.
8650b718-c133-43ad-9555-efd4cdd93648,彼女は____本を読みます。,いつも,She always reads books.
8650b718-c133-43ad-9555-efd4cdd93648,私たちは____この店で昼ごはんを食べます。,いつも,We always eat lunch at this shop.
4d30f3d6-8490-4484-a90a-3ea72208d051,春になると花が____。,咲く,Flowers bloom in spring.
4d30f3d6-8490-4484-a90a-3ea72208d051,公園で桜が____。,咲く,The cherry blossoms bloom in the park.
4d30f3d6-8490-4484-a90a-3ea72208d051,庭の花が毎年____。,咲く,The flowers in the garden bloom every year.
8e48446e-fa6f-4fc4-9edd-baa25549f303,鳥が____ています。,飛ぶ,The bird is flying.
8e48446e-fa6f-4fc4-9edd-baa25549f303,私は虫が____のを見ました。,飛ぶ,I saw the insect flying.
8e48446e-fa6f-4fc4-9edd-baa25549f303,彼は元気に____ことが好きです。,飛ぶ,He likes to hop energetically.
338e7785-09cb-4d7b-89b7-a42132601e35,毎日、家で____をします。,掃除,I clean the house every day.
338e7785-09cb-4d7b-89b7-a42132601e35,週末に友達と一緒に____をしました。,掃除,I did cleaning with my friends on the weekend.
338e7785-09cb-4d7b-89b7-a42132601e35,学校の後、____をするつもりです。,掃除,I plan to do cleaning after school.
32345fca-b07d-49e0-b200-bacb68af58eb,明日は____です。,二日,Tomorrow is the second day.
32345fca-b07d-49e0-b200-bacb68af58eb,私は____待ちました。,二日,I waited for two days.
32345fca-b07d-49e0-b200-bacb68af58eb,____に友達に会います。,二日,I will meet my friend on the second day.
017235eb-7614-4d6b-b79c-76b647685a25,彼は本を____。,ている,He is reading a book.
017235eb-7614-4d6b-b79c-76b647685a25,私たちは公園で____。,ている,We are playing in the park.
017235eb-7614-4d6b-b79c-76b647685a25,彼女は音楽を____。,ている,She is listening to music.
06c2ba22-a11c-4b88-922c-20820fe5da3b,私は勉強____音楽を聞きます。,～中,I listen to music while studying.
